NAME,PRICE,WATCHERS
"Set of (4) PCGS MS64FBL 50C Franklin Half Dollar 1948, 1949, 1949-D, 1949-S",$2.25,https://i.ebayimg.com/thumbs/images/g/zgEAAOSwCC9mO7lp/s-l300.jpg
"1958 10C Roosevelt Dime, PCGS MS64FB",$1.00,https://i.ebayimg.com/thumbs/images/g/i5IAAOSw~0VmNXKx/s-l300.jpg
"Set of (2) PCGS MS65 50C Booker T. Washington 1950-D, 1951",$1.00,https://i.ebayimg.com/thumbs/images/g/YtsAAOSwdApmO~hf/s-l300.jpg
"Set of (3) PCGS MS66 50C Booker T. Washington 1950, 1950-S, 1951-S",$1.00,https://i.ebayimg.com/thumbs/images/g/hg4AAOSwshdmO~oW/s-l300.jpg
"Set of (3) PCGS MS64 50C Franklin Half Dollar 1954, 1955, 1956",$1.00,https://i.ebayimg.com/thumbs/images/g/wxAAAOSw7pVmO-5t/s-l300.jpg
"Lot of 5 Roosevelt Dimes ALL PCGS MS65, 1954-S, 1955, 1956-D, 1957, 1957-D",$25.01,https://i.ebayimg.com/thumbs/images/g/p6YAAOSwVNdmOqH7/s-l300.jpg
"Set of (3) PCGS MS65 50C Kennedy Half Dollar 1964, 1964-D, 1967",$1.00,https://i.ebayimg.com/thumbs/images/g/aB8AAOSw-xdmO~tn/s-l300.jpg
"Set of (4) PCGS PR67 50C Franklin Half Dollar 1955, 1956 (Type 1&2), 1957",$1.00,https://i.ebayimg.com/thumbs/images/g/qgEAAOSw3v1mO~AH/s-l300.jpg
Set of (3) PCGS MS66 50C Booker T. Washington PCGS MS66,$1.00,https://i.ebayimg.com/thumbs/images/g/56gAAOSwBdVmO~bh/s-l300.jpg
"Set of (3) PCGS MS65 50C Booker T. Washington 1947, 1948-S, 1949-D",$1.00,https://i.ebayimg.com/thumbs/images/g/-hoAAOSwNldmO~Y2/s-l300.jpg
"Lot of (2) PCGS MS65 50C Franklin Half Dollar 1957, 1958",$1.00,https://i.ebayimg.com/thumbs/images/g/2iEAAOSwmIxmO~KJ/s-l300.jpg
Set of (2) 1956 50C Franklin Half Dollar PCGS PR66 Type 1 & 2,$1.00,https://i.ebayimg.com/thumbs/images/g/ji8AAOSwcTtmO~IK/s-l300.jpg
"Set of (3) PCGS MS65FBL 50C Franklin Half Dollar 1955, 1956, 1957",$1.00,https://i.ebayimg.com/thumbs/images/g/GCMAAOSw8EVmO-88/s-l300.jpg
20th Century Whitman Type Coins Album (22 Coins),$200.00,https://i.ebayimg.com/thumbs/images/g/ZZ4AAOSwGR5mMtca/s-l300.jpg
1950 Franklin Half Dollar 50C PCGS MS64FBL,$1.00,https://i.ebayimg.com/thumbs/images/g/guYAAOSwbHNmOp~J/s-l300.jpg
"Set of (5) PCGS MS65 10C Roosevelt Dime, 1954-S, 1955, 1956-D,1957,1957-D",$1.00,https://i.ebayimg.com/thumbs/images/g/qRwAAOSw06hmOn6P/s-l300.jpg
"Set of (4) 1954-S, 1957, 1956-D, 1957-D 10C Roosevelt Dime PCGS MS66",$1.00,https://i.ebayimg.com/thumbs/images/g/UfQAAOSwWdtmOWag/s-l300.jpg
"Set of (3) PCGS MS66FB 10C Roosevelt Dime 1956-D, 1957, 1957-D",$1.25,https://i.ebayimg.com/thumbs/images/g/tqwAAOSwZjVmOWjw/s-l300.jpg
1964-D 50C Kennedy Half Dollar PCGS MS64,$1.00,https://i.ebayimg.com/thumbs/images/g/NTYAAOSwyqhmO~rq/s-l300.jpg
1957 Franklin Half Dollar 50C PCGS PR68,$1.00,https://i.ebayimg.com/thumbs/images/g/9WUAAOSwXtdmOqPU/s-l300.jpg
1957 Franklin Half Dollar 50C PCGS PR67CAM,$1.25,https://i.ebayimg.com/thumbs/images/g/XCYAAOSw9B5mOqQl/s-l300.jpg
1956 Franklin Half Dollar 50C PCGS PR66CAM Type 2,$1.00,https://i.ebayimg.com/thumbs/images/g/puoAAOSwyN1mOqGX/s-l300.jpg
"Set of 3 PCGS MS65FB 10C Roosevelt Dime 1956-D, 1957, 1957-D",$1.00,https://i.ebayimg.com/thumbs/images/g/VJoAAOSwAzdmOWqj/s-l300.jpg
1956 Franklin Half Dollar 50C PCGS PR68DCAM Type 2,$53.00,https://i.ebayimg.com/thumbs/images/g/0jAAAOSwfp9mOqK1/s-l300.jpg
"Set of (2) PCGS MS64 50C Franklin Half Dollar 1950, 1951-D",$1.00,https://i.ebayimg.com/thumbs/images/g/~oIAAOSwDsxmO75N/s-l300.jpg
"Set of (3) PCGS MS65 50C Franklin Half Dollar 1950, 1951-S, 1952-S",$1.00,https://i.ebayimg.com/thumbs/images/g/mQ4AAOSwPgdmO78j/s-l300.jpg
"Lot of (2) PCGS MS63FBL 50C Franklin Half Dollar 1948-D, 1949-D",$1.00,https://i.ebayimg.com/thumbs/images/g/1LEAAOSwwnRmO7t8/s-l300.jpg
1947-S 50C Booker T. Washington PCGS MS64,$1.00,https://i.ebayimg.com/thumbs/images/g/5EwAAOSwZkxmO~Me/s-l300.jpg
"Set of 2 PCGS MS64FB Roosevelt Dimes 1956-D, 1957-D",$1.00,https://i.ebayimg.com/thumbs/images/g/M4AAAOSwm5VmNoGw/s-l300.jpg
"Set of (3) 1949-S 50C Franklin Half Dollar PCGS MS63, MS64, MS65",$1.00,https://i.ebayimg.com/thumbs/images/g/3LkAAOSwsPJmO700/s-l300.jpg
1956 Franklin Half Dollar 50C PCGS PR68 Type 2,$1.00,https://i.ebayimg.com/thumbs/images/g/YO0AAOSwDVFmOqMc/s-l300.jpg
"1964-D 10C PCGS MS66FB, Roosevelt Dime",$1.00,https://i.ebayimg.com/thumbs/images/g/etwAAOSwi-tmNUe6/s-l300.jpg
1957 Franklin Half Dollar 50C PCGS MS64,$1.00,https://i.ebayimg.com/thumbs/images/g/wxIAAOSwNTlmOqN~/s-l300.jpg
1909 $20 St. Gaudens NGC PF69 Rare Coin,"$1,295,000.00",https://i.ebayimg.com/thumbs/images/g/3LUAAOSwUtBlQsT2/s-l300.jpg
"1901 $10 Bison US Note Legal Tender, PCGS CHOICE VF 35","$2,750.00",https://i.ebayimg.com/thumbs/images/g/HCAAAOSweoFmECRw/s-l300.jpg
Historic United States Currency Folio Postal Commemorative Set,$75.00,https://i.ebayimg.com/thumbs/images/g/ynMAAOSwXnVmM-O4/s-l300.jpg
"1954-S 10C PCGS MS64FB, Roosevelt Dime",$1.00,https://i.ebayimg.com/thumbs/images/g/OzkAAOSwKatmNXeQ/s-l300.jpg
1955 Franklin Half Dollar 50C PCGS MS63,$2.30,https://i.ebayimg.com/thumbs/images/g/NwwAAOSwqEpmOqEd/s-l300.jpg
1934 $100 Federal Reserve Note Boston PMG 64 Serial A01743571A,$295.00,https://i.ebayimg.com/thumbs/images/g/vJoAAOSwp15lsXo0/s-l300.jpg
Lot of 5 - 2007 United States Mint Annual Uncirculated Dollar Coin Set SEALED,$190.00,https://i.ebayimg.com/thumbs/images/g/MTwAAOSwBG5mGDSh/s-l300.jpg
"Lot of (2) PCGS MS65FBL 50C Franklin Half Dollar 1948-D, 1948",$1.00,https://i.ebayimg.com/thumbs/images/g/0bwAAOSwY8xmO7xP/s-l300.jpg
"Set of (2) PCGS Genuine UNC Detail 50C Franklin Half Dollar 1950-D, 1951-S",$1.00,https://i.ebayimg.com/thumbs/images/g/DaQAAOSwaKdmO7~Z/s-l300.jpg
"1964-D 10C Dime, PCGS MS66",$1.00,https://i.ebayimg.com/thumbs/images/g/6S4AAOSwDAdmNUPh/s-l300.jpg
1986-S $1 American Silver Eagle PCGS PR 70 DCAM,$250.00,https://i.ebayimg.com/thumbs/images/g/XuEAAOSwpMtmNEeS/s-l300.jpg
"1928 $20 Gold Certificate, Fr. 2402, CHOICE VF 35",$375.00,https://i.ebayimg.com/thumbs/images/g/GNAAAOSw~z5mD0VJ/s-l300.jpg
Treasures of the Caribbean | 1796 Spanish 8 Reale Third Party Box/COA,$125.00,https://i.ebayimg.com/thumbs/images/g/Qs0AAOSwp9ZmMXQ6/s-l300.jpg
1 Gram Platinum Bar PAMP SWISS Original Cards Mint Condition Sealed,$49.50,https://i.ebayimg.com/thumbs/images/g/eIYAAOSwJP5jl8FS/s-l300.jpg
2017 South Africa Silver Rand 50th Anniversary Early Releases NGC SP70,$75.00,https://i.ebayimg.com/thumbs/images/g/d7UAAOSwIp1mOn1q/s-l300.jpg
1948 Franklin Half Dollar 50C PCGS AU58,$7.47,https://i.ebayimg.com/thumbs/images/g/vx0AAOSwJ11mOp87/s-l300.jpg
1950-D Franklin Half Dollar 50C PCGS AU58,$13.03,https://i.ebayimg.com/thumbs/images/g/Z6sAAOSwOR9mOqBF/s-l300.jpg
"1880-CC $1 Morgan Dollar GSA Hoard, VAM 8 8/7 Rev of 79 Rare Coin","$1,150.00",https://i.ebayimg.com/thumbs/images/g/SjEAAOSw~XBmHsFL/s-l300.jpg
"1887 1 Double Florin, Great Britain, PCGS MS64 Rare Coin",$450.00,https://i.ebayimg.com/thumbs/images/g/DgAAAOSwa8RmC1ZE/s-l300.jpg
1951-S Franklin Half Dollar 50C PCGS AU55,$12.95,https://i.ebayimg.com/thumbs/images/g/XosAAOSw5QxmOqCr/s-l300.jpg
1887 $1 Morgan Dollar NGC MS64 Rare Coin,$99.00,https://i.ebayimg.com/thumbs/images/g/o~8AAOSwvZVmM-7I/s-l300.jpg
"1937-D 5C 3 Legs Buffalo Nickel, PCGS MS64","$8,500.00",https://i.ebayimg.com/thumbs/images/g/9JIAAOSwE1pmO9HL/s-l300.jpg
